index,soleil
0,-64.73111361384971
1,-70.85873064949385
2,-69.31396253390162
3,-61.327846214965454
4,-50.73344180245419
5,-39.274534614402015
6,-27.611004233102566
7,-16.083573955825585
8,-4.959253985987995
9,5.61874345444927
10,14.889159811106698
11,22.644729364867825
12,28.192500133984655
13,30.871345243571216
14,30.281019353960353
15,26.515201799135497
16,20.101796905972186
17,11.727369593547905
18,2.148484587591614
19,-8.851178529055591
20,-20.14587998748065
21,-31.746449421843444
22,-43.37173317982942
23,-54.60400312461063
24,-64.51795236462318
25,-70.63230585606077
26,-69.14008194309629
27,-61.21703750247096
28,-50.654474041221576
29,-39.20714910421082
30,-27.543745001589635
31,-16.00885902556883
32,-4.871010890162487
33,5.72387301470151
34,15.020396557252228
35,22.804792370468828
36,28.382199777565607
37,31.08574237234775
38,30.509207027198578
39,26.74472748133551
40,20.323694728538253
41,11.937147731041547
42,2.3348689598010144
43,-8.661726242035458
44,-19.963485219300864
45,-31.56708364974948
46,-43.189637917027255
47,-54.41041770450722
48,-64.30133552745286
49,-70.40032190993273
50,-68.9584320176137
51,-61.098557313525326
52,-50.568545432927934
53,-27.470270025231553
54,-15.928020490749393
55,-4.776620950396811
56,5.835190541876469
57,15.158018669790133
58,22.97138719879111
59,28.578447844285936
60,31.306418804776467
61,30.743018949884743
62,26.978933820892607
63,20.54927533580732
64,12.149755977022538
65,2.524230369667092
66,-8.470601804370032
67,-19.779672409922462
68,-31.386334459713304
69,-43.00592505381857
70,-54.21459947174763
71,-64.08129927572277
72,-70.1628804777266
73,-68.76911073025086
74,-60.972423420634186
75,-39.052958980482344
76,-27.390586974300152
77,-15.84107882429833
78,-4.676118023570969
79,5.95265831314207
80,15.301968836800862
81,23.144446627950927
82,28.781170550708207
83,31.533295132486344
84,30.98236864846455
85,27.217727981667927
86,20.77844471904879
87,12.365105301713205
88,2.7164314791653865
89,-8.277871949406387
90,-19.59449444758543
91,-31.20424060617741
92,-42.82062031462094
93,-54.016566813603056
94,-63.857877190717
95,-69.92008233649698
96,-60.83866318258137
97,-50.37579095761136
98,-38.96615574146159
99,-27.304709968859438
100,-15.748060543663478
101,-4.569541701670299
102,6.076232948987291
103,15.452184587763503
104,23.32389862684827
105,28.99028972649182
106,31.766287996658487
107,31.227166087732492
108,27.46101401066559
109,21.011106346412106
110,12.583104785312432
111,2.9113364267601742
112,-8.083604166187994
113,-19.4080046733498
114,-31.020841163758895
115,-42.633749814946135
116,-53.81633886710183
117,-63.631104162034745
118,-69.67202955163923
119,-68.36788102969899
120,-50.26897536708376
121,-38.87289015758029
122,-27.21265658100124
123,-15.648995269556512
124,-4.456934543949211
125,6.2058677665444675
126,15.608600278494821
127,23.50966768557914
128,29.205723272162093
